Date : 2022-02-20 20:53:21
Directory : c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend
Total : 219 files,  39071 codes, 2277 comments, 2687 blanks, all 44035 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     23,892 |          0 |          2 |     23,894 |
| SCSS               |        119 |     10,153 |      2,021 |      1,961 |     14,135 |
| TypeScript         |         39 |      2,953 |        129 |        503 |      3,585 |
| XML                |          1 |        685 |          0 |          0 |        685 |
| YAML               |          7 |        536 |         12 |         24 |        572 |
| Markdown           |          5 |        269 |          0 |         31 |        300 |
| Properties         |          6 |        164 |         37 |         69 |        270 |
| Shell Script       |         27 |        157 |         41 |         60 |        258 |
| JSON with Comments |          2 |         88 |         15 |          3 |        106 |
| JavaScript         |          5 |         72 |          8 |          5 |         85 |
| HTML               |          3 |         61 |          0 |         10 |         71 |
| Docker             |          2 |         24 |         13 |         18 |         55 |
| Ignore             |          1 |         17 |          1 |          1 |         19 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        219 |     39,071 |      2,277 |      2,687 |     44,035 |
| .VSCodeCounter                                                                                                        |          2 |        214 |          0 |         13 |        227 |
| .github                                                                                                               |          1 |         46 |          2 |          7 |         55 |
| .github\workflows                                                                                                     |          1 |         46 |          2 |          7 |         55 |
| OpenAPI                                                                                                               |          2 |        351 |          0 |          6 |        357 |
| bin                                                                                                                   |         15 |         87 |         46 |         35 |        168 |
| certs                                                                                                                 |          1 |          1 |          1 |          1 |          3 |
| nginx                                                                                                                 |         24 |        403 |         45 |        116 |        564 |
| nginx\bin                                                                                                             |         12 |         83 |         16 |         33 |        132 |
| nginx\config                                                                                                          |          5 |        150 |         15 |         60 |        225 |
| nginx\config\conf.d                                                                                                   |          3 |         86 |          6 |         32 |        124 |
| nginx\content                                                                                                         |          2 |         46 |          0 |          6 |         52 |
| nginx\content\verify                                                                                                  |          2 |         46 |          0 |          6 |         52 |
| nginx\staging                                                                                                         |          1 |         33 |          0 |          4 |         37 |
| src                                                                                                                   |        153 |     12,728 |      2,153 |      2,371 |     17,252 |
| src\features                                                                                                          |         20 |      1,468 |         61 |        283 |      1,812 |
| src\features\admin                                                                                                    |          1 |         31 |          0 |          6 |         37 |
| src\features\auth                                                                                                     |          1 |         97 |          1 |          9 |        107 |
| src\features\device                                                                                                   |          4 |        277 |          7 |         45 |        329 |
| src\features\home                                                                                                     |          1 |          6 |          0 |          6 |         12 |
| src\features\location                                                                                                 |          3 |        316 |         12 |         54 |        382 |
| src\features\monitor                                                                                                  |          1 |         55 |         10 |         22 |         87 |
| src\features\sensor                                                                                                   |          3 |        358 |         17 |         68 |        443 |
| src\features\tenant                                                                                                   |          3 |         65 |          2 |         21 |         88 |
| src\features\user                                                                                                     |          3 |        263 |         12 |         52 |        327 |
| src\public                                                                                                            |        124 |     10,876 |      2,029 |      1,969 |     14,874 |
| src\public\css                                                                                                        |        119 |     10,153 |      2,021 |      1,961 |     14,135 |
| src\public\css\lib                                                                                                    |         86 |      7,296 |      1,614 |      1,333 |     10,243 |
| src\public\css\lib\bootstrap                                                                                          |         71 |      5,549 |      1,562 |      1,278 |      8,389 |
| src\public\css\lib\bootstrap\mixins                                                                                   |         30 |        754 |        166 |        122 |      1,042 |
| src\public\css\lib\font-awesome                                                                                       |         14 |      1,646 |         44 |         48 |      1,738 |
| src\public\css\themes                                                                                                 |         32 |      2,816 |        395 |        610 |      3,821 |
| src\public\css\themes\default                                                                                         |          2 |         66 |         20 |         29 |        115 |
| src\public\css\themes\flatly                                                                                          |          2 |        645 |        290 |        267 |      1,202 |
| src\public\css\themes\gsdk                                                                                            |         26 |      2,006 |         59 |        276 |      2,341 |
| src\public\css\themes\gsdk\gsdk                                                                                       |         25 |      1,988 |         53 |        270 |      2,311 |
| src\public\css\themes\gsdk\gsdk\mixins                                                                                |          7 |        278 |          6 |         40 |        324 |
| src\public\css\themes\modern                                                                                          |          2 |         99 |         26 |         38 |        163 |
| src\public\fonts                                                                                                      |          1 |        685 |          0 |          0 |        685 |
| src\public\js                                                                                                         |          2 |          5 |          6 |          0 |         11 |
| src\public\js\lib                                                                                                     |          2 |          5 |          6 |          0 |         11 |
| src\services                                                                                                          |          5 |        238 |         28 |         52 |        318 |
| src\services\config                                                                                                   |          1 |         60 |          5 |         13 |         78 |
| src\services\crypto                                                                                                   |          1 |         29 |          3 |          8 |         40 |
| src\services\jwt                                                                                                      |          1 |         34 |          1 |          9 |         44 |
| src\services\logger                                                                                                   |          1 |         69 |         15 |         14 |         98 |
| src\services\util                                                                                                     |          1 |         46 |          4 |          8 |         58 |
| src\types                                                                                                             |          2 |          2 |          0 |          0 |          2 |
| test                                                                                                                  |          8 |      1,062 |          0 |         88 |      1,150 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                              | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\.VSCodeCounter\details.md                                       | Markdown           |        164 |          0 |          6 |        170 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\.VSCodeCounter\results.md                                       | Markdown           |         50 |          0 |          7 |         57 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\.dockerignore                                                   | Ignore             |         17 |          1 |          1 |         19 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\.eslintrc.js                                                    | JavaScript         |         30 |          0 |          1 |         31 |
| c:\Users\TorbjörnVading\Desktop\repos\iTemper-Backend\.github\workflows\nodejs.yml                                    | YAML               |         46 |          2 |          7 |         55 |
